,#,Name,Origin,Country,Time
0,1,Kristin Thuv,Bodø (Norge),Norway,00:37:58
1,2,Weronika Huptas,Skarzysko Koscielne (Swietokrzyskie),Poland,00:39:12 
2,3,Krystian Niedziela,Sosnowiec (Śląskie),Poland,00:41:09 
3,4,Kelly Walter,Phoenix (Arizona),USA,00:42:46 
4,5,Katharina Reiner,Hof (Bavaria),Germany,00:42:56 
5,6,Mercédesz Arthofer,Sopron (Győr-Moson-Sopron),Hungary,00:43:53 
6,7,Alejandro Clemente León,Barcelona,Spain,00:43:59 
7,7,Katrina Coleman,Launceston (Tasmania),Australia,00:43:59 
8,9,Netherlands Inge Sinot,Budel (Noord-Brabant),The Netherlands,00:44:08 
9,10,Tereza Koptíková,Prague (Cze),Czech Republic,00:44:30 
10,11,Chiara Dellantonio,Munich (Bayern),Italy,00:44:43 
11,12,Klara Wesselkamp,Kopenhagen (Hovedstaden),Germany,00:45:10 
12,13,Puzzlers Lina Ivanova,Novosibirsk,International Puzzlers,00:45:13 
13,14,Melissa Townsend,Gold Coast (Queensland),Australia,00:45:34 
14,15,Cathy Roiter,Duvall (Washington),USA,00:45:37 
15,16,Erika Skarupskė,Vilnius,Lithuania,00:45:42 
16,17,Andrea Peng,San Francisco (California),USA,00:46:19 
17,18,Puzzlers Taisiya Voronova,Novosibirsk,International Puzzlers,00:46:26 
18,19,Emma Pan,West Roxbury (Massachusetts),USA,00:46:31 
19,20,Wiktor Kacprzak,Kraków (Polska),Poland,00:46:48 
20,21,Markéta Freislerová,Nupaky (Cze),Czech Republic,00:47:03 
21,22,Lauren Kautz,Minneapolis (Mn),USA,00:47:29 
22,23,Mia Oehmig,Münster (Nrw),Germany,00:47:31 
23,24,Alice Rowe,Boulder (Co),USA,00:47:35 
24,25,Lisa Cruz,Louisfert (Loire Atlantique),France,00:47:47 
25,26,Viktória Gyüre,Budapest,Hungary,00:48:23 
26,27,Hanna Lehikoinen,Helsinki (Uusimaa),Finland,00:48:24 
27,28,Jeanne Roiter,Duvall (Washington),USA,00:49:02 
28,29,Hannah Farthing,Warragul (Victoria),Australia,00:49:04 
29,30,Tyra Weiring,Västerås (Västmanland),Sweden,00:49:05 
30,31,Laura Aizpurua de Arteche,Madrid,Spain,00:49:10 
31,32,Jana Ondroušková,Brno,Czech Republic,00:49:11 
32,33,Emma Quirke,Killarney (Kerry),Ireland,00:49:26 
33,34,Brigitta Vinkler,Szendehely,Hungary,00:49:31 
34,35,Emilia Korhonen,Siilinjärvi (Pohjois-Savo),Finland,00:49:38 
35,36,Lara Friedrich,Heidelberg (Baden-Wuerttemberg),Germany,00:49:43 
36,37,Tobias Priemer,Dalby (Skåne),Sweden,00:49:45 
37,38,Netherlands Rowan Versteege,Delft (Zuid-Holland),The Netherlands,00:50:12 
38,39,Finn Parker,Artarmon (Nsw),Australia,00:50:28 
39,40,Puzzlers Mariia Matiushkina,Novosibirsk,International Puzzlers,00:50:29 
40,41,Mari Black,Cambridge (Ma),USA,00:50:30 
41,42,Stefanie Bühler,Kerava (Uusimaa),Germany,00:50:41 
42,43,Veronika Valt,Bratislava,Slovakia,00:50:48 
43,44,Martyna Halter-Bogołębska,Warsaw (Mazowieckie),Poland,00:51:07 
44,45,Marion Cordier,Pleumeur Bodou (Bretagne),France,00:51:36 
45,46,Rhianna Eriksen,Brisbane (Queensland),Australia,00:51:53 
46,47,Kateřina Klinková,Praha (Czech Republic),Czech Republic,00:51:56 
47,48,Sofie Juel Andersen,Aarhus (None),Denmark,00:51:58 
48,49,Natalia Ptaszek,Nowogard (Zachodniopomorskie),Poland,00:52:00 
49,50,Maja Von Borstel,Berlin,Germany,00:52:18 
50,51,Lydia Holmgren,Gävle (Gävleborg),Sweden,00:52:35 
51,52,Maria-Magdalena Robrecht,Heidelberg (Baden-Württemberg),Germany,00:52:47 
52,53,Maja Willén,Linköping (Östergötland),Sweden,00:52:50 
53,54,Iris Bakker,Aarhus (Midtjylland),Denmark,00:52:51 
54,55,Camille Auen,Ungersheim (Alsace),France,00:53:07 
55,56,Sarah Schuler,St. Paul (Minnesota),USA,00:53:08 
56,57,Gisela Arranz Toro,Madrid,Spain,00:53:13 
57,58,Amanda Helin,Rolfstorp,Sweden,00:53:14 
58,59,Ana Gil Luciano,Madrid,Spain,00:53:18 
59,60,Lenka Henao Mišíková,Lisbon,Slovakia,00:53:19 
60,61,Laura Dóra Bíró,Kecskemét (Bács-Kiskun),Hungary,00:53:41 
61,62,Yvonne Feucht,Burbank (California),USA,00:53:55 
62,63,Lisa-Marie Friedrich,Ottenhoefen Im Schwarzwald (Baden-Württemberg),Germany,00:53:57 
63,64,Agata Zasada,Wrocław (Dolnośląskie),Poland,00:54:00 
64,65,Kyle Kossin,Bountiful (Utah),USA,00:54:07 
65,66,Tiffany Medeiros,Lowell (Massachusetts),USA,00:54:08 
66,67,Lorenzo Dalla Valle,Lozzo Atestino (Padova),Italy,00:54:12 
67,68,Laura Pescher,Gelsenkirchen (Nrw),Germany,00:54:13 
68,69,Linda Jukmane,Riga (Latvia),Latvia,00:54:26 
69,70,Elisabeth Merendi,Viljandi (Viljandimaa),Estonia,00:54:28 
70,71,Anna Menges,Köln (North Rhine-Westfalia),Germany,00:54:30 
71,72,Hrefna Guðlaugardóttir,Reykjavík,Iceland,00:54:32 
72,73,Netherlands Ellen Sinot,Waalre (Noord-Brabant),The Netherlands,00:54:33 
73,74,Mara Holler,Cologne (Nordrhein-Westfalen),Germany,00:54:35 
74,75,Netherlands Sandra Kunnen,Haarlem (Noord-Holland),The Netherlands,00:54:42 
75,76,Kateryna Babak,Nuremberg (Bayern),Ukraine,00:54:44 
76,77,Amke Eggers,Göttingen (Lower Saxony),Germany,00:54:52 
77,78,Devon Donaldson,Toronto (Ontario),Canada,00:54:54 
78,79,Marta Lapina,Riga,Latvia,00:55:03 
79,80,Julia Hildebrandt,Berlin,Austria,00:55:04 
80,81,Nym L. Colpart,Grenoble (France),France,00:55:13 
81,82,Elena Kovačević,Split (Splitsko Dalmatinska),Croatia,00:55:16 
82,83,Ole Marton Ølberg,Alversund (Vestland),Norway,00:55:39 
83,84,Astrid Roesen Abildgaard,Copenhagen (Denmark),Denmark,00:55:43 
84,85,Agnès Graulle,Toulouse (Occitanie),France,00:55:46 
85,86,Vanda Varga,Budapest,Hungary,00:55:49 
86,87,Mariana Mendes,Quarteira (Faro),Portugal,00:55:54 
87,88,Magdalena Alberti,München (Bayern),Germany,00:56:05 
88,89,Marita Broberg,O’Halloran Hill (Sa),Australia,00:56:14 
89,90,Antonia Albani,Lüneburg (Lower Saxony),Germany,00:56:20 
90,91,Verena Klauser,Vienna,Austria,00:56:32 
91,92,Merle Kleemann,Aachen (Nrw),Germany,00:56:49 
92,93,Emily Chandran,North Attleborough (Massachusetts),USA,00:56:50 
93,94,Claudia Carnicero Verde,Soria,Spain,00:56:55 
94,95,Šárka Červinková,Hnatnice (Česká Republika),Czech Republic,00:57:17 
95,96,Karolina Gajdova,Praha (Czechia),Czech Republic,00:57:22 
96,97,Alycia Krasny,San Diego (California),USA,00:57:31 
97,98,Francisco José Ruiz Pérez,"Cazalegas, Pueblo (Toledo)",Spain,00:57:32 
98,99,Daniel Krummenacker,Traun (Oberösterreich),Austria,00:57:36 
99,100,Edmond Boutry,Châtellerault (Poitou Charentes),France,00:58:03 
100,101,Sophie Helg,Montréal (Qc),Canada,00:58:04 
101,102,Dawne Rasmusson,Prior Lake (Minnesota),USA,00:58:24 
102,103,Colleen Dunne,Columbus (Oh),USA,00:58:28 
103,104,Min-Yee Deng,San Diego (Ca),USA,00:58:39 
104,105,Sémilia Baylé,Toulouse (Haute-Garonne),France,00:58:51 
105,106,Inka Koskinen,Vantaa (Uusimaa),Finland,00:58:53 
106,107,Oliwia Pracownik,Lublin (Lubelskie),Poland,00:59:07 
107,108,Alina Schering,Selb (Bayern),Germany,00:59:12 
108,109,Sarah Rowe,Williamstown (Massachusetts),USA,00:59:16 
109,110,Cornelia Spreitzer,Wien,Austria,00:59:44 
110,111,Elodie Serrano,Lyon (Rhone),France,00:59:52 
111,112,Sjelle Hiebner,Barcelona (Catalonia),Germany,00:59:53 
112,113,Andrea Kyle,Saint Paul (Minnesota),USA,00:59:54 
113,114,Carsten Ruhnke,Hannover (Lower Saxony),Germany,01:00:07 
114,115,Emilia Liberman,Espoo (Uusimaa),Finland,01:00:13 
115,116,Zealand Jacqui Davis,Auckland,New Zealand,01:00:18 
116,117,Tuule Müürsepp,Antsla (Võrumaa),Estonia,01:00:19 
117,118,Beatrice Endler,Portland (Or),USA,01:00:21 
118,119,Nicola Thomas,Marlow (Buckinghamshire),United Kingdom,01:00:49 
119,120,Ellie Higgins,Melbourne (Victoria),Australia,01:00:55 
120,121,Olivia Waltz,Copenhagen (Hovedstaden),Denmark,01:01:03 
121,121,Sophie Neumann,Jena (Thüringen),Germany,01:01:03 
122,123,Anna Kazana,Kraków (Małopolskie),Poland,01:01:04 
123,124,Jana Katharina Ebner,Heidelberg (Baden-Württemberg),Germany,01:01:12 
